Date,Category,tuned/tunedff/tuned45/untuned/control,BCI axis,Channels,,Tuning (MC position),,,,Tuning (MC velocity),,,,MC velocity *,Targets per min,,,,,,,,TargetType (1=0.08; 2=0.12) ,Comments
,,,"FE = 1, RU = 2",,,FE,RU,FE,RU,FE,RU,FE,RU,,MC position,MC velocity,1D BC,DC,BC,DC,MC position,MC velocity,,
9/20/2013,III or IV,4,1,F81.3,E20.3,-1.6,1.7,3.0,-3.4,-2.0,2.5,-7.0,1.8,,21,x,4.8,4.2,x,x,x,x,,
9/20/2013,I,3,1,R88.3,U87.1,-4.9,3.4,4.7,-6.3,-3.1,8.2,4.9,-9.0,*,17.6,x,7.2,7.2,x,x,x,x,,
9/23/2013,III or IV,4,1,F81.3,E73.2,-2.8,-2.3,-1.7,-2.9,-2.8,4.2,3.1,1.0,,24.4,8.4,2.6,4.6,x,x,8,5,,
9/24/2013,III or IV,4,1,F73.2,E81.1,-2.9,3.4,3.3,-2.1,2.9,2.4,4.2,-4.0,,22.4,12.8,1.2,0.6,x,x,x,x,,
9/24/2013,I,3,1,R88.3,U87.1,-5.5,-4.4,3.9,-6.2,-2.4,7.7,3.3,-7.2,*,21,x,1,3.6,x,x,21.4,x,,
9/26/2013,III or IV,4,,F88.2,E81.1,3.3,3.7,-1.5,-1.8,5.7,-5.1,5.1,-3.8,,22,14,8.4,2.6,x,x,x,x,,
9/26/2013,I,1,,F29.2,E81.2,6.6,2.4,-5.2,1.5,8.9,-3.1,-4.1,-4.6,*,18.4,x,1.8,11.2,x,x,x,x,,11.2 score when practicing for 70min
9/27/2013,IVa,4,,F81.1,E91.2,4.1,3.4,2.9,-1.9,-4.3,-2.8,2.6,3.5,,21.8,13.6,2.4,7,x,x,x,x,,
9/27/2013,II,5,,F73.2,E81.2,-2.4,-2.1,-5.3,3.2,2.0,1.4,-2.1,3.2,,22.6,16.2,5.2,10,x,x,x,x,,(weakly tuned velocity)
