nev file, mat file, date-time, duration, mapping
20121205SpankyUtah001.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,510.239167,2D Manual Position
20121205SpankyUtah002.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,15.017700,Multiple
20121205SpankyUtah003.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,424.703133,Multiple
20121205SpankyUtah004.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,15.643033,Multiple
20121205SpankyUtah005.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,152.503800,Multiple
20121205SpankyUtah006.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,11.159700,2D Manual Position
20121205SpankyUtah007.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,661.416933,2D Manual Position
20121205SpankyUtah008.nev,Spanky_2012-12-05-1330.mat,2012-12-05-1330,511.563300,2D Manual Position
20121212SpankyUtah001.nev,Spanky_2012-12-12-1436.mat,2012-12-12-1436,489.430267,2D Manual Position
20121212SpankyUtah002.nev,Spanky_2012-12-12-1436.mat,2012-12-12-1436,16.506233,2D Manual Position
20121212SpankyUtah003.nev,Spanky_2012-12-12-1436.mat,2012-12-12-1436,541.020533,2D Manual Position
20121212SpankyUtah004.nev,Spanky_2012-12-12-1436.mat,2012-12-12-1436,15.576767,2D Manual Position
20121212SpankyUtah005.nev,Spanky_2012-12-12-1436.mat,2012-12-12-1436,541.283667,2D Manual Position
20121212SpankyUtah006.nev,Spanky_2012-12-12-1436.mat,2012-12-12-1436,462.104700,2D Manual Position
20121213SpankyUtah001.nev,Spanky_2012-12-13-1419.mat,2012-12-13-1419,602.458300,2D Manual Position
20121213SpankyUtah002.nev,Spanky_2012-12-13-1419.mat,2012-12-13-1419,15.643067,2D Manual Position
20121213SpankyUtah003.nev,Spanky_2012-12-13-1419.mat,2012-12-13-1419,630.767233,2D Manual Position
20121213SpankyUtah004.nev,Spanky_2012-12-13-1419.mat,2012-12-13-1419,631.430533,2D Manual Position
20121213SpankyUtah005.nev,Spanky_2012-12-13-1419.mat,2012-12-13-1419,631.062500,2D Manual Position
20121213SpankyUtah006.nev,Spanky_2012-12-13-1419.mat,2012-12-13-1419,361.369633,2D Manual Position
20121214SpankyUtah001.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,670.551400,2D Manual Position
20121214SpankyUtah002.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,16.077667,2D Manual Position
20121214SpankyUtah003.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,609.908933,2D Manual Position
20121214SpankyUtah004.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,360.698233,2D Manual Position
20121214SpankyUtah005.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,17.721633,1D Horiz Brain  Velocity
20121214SpankyUtah006.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,602.384367,1D Horiz Brain  Velocity
20121214SpankyUtah007.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,19.457533,1D Horiz Brain  Velocity
20121214SpankyUtah008.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,661.207267,1D Horiz Brain  Velocity
20121214SpankyUtah009.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,601.715367,1D Horiz Brain  Velocity
20121214SpankyUtah010.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,16.058567,2D Manual Position
20121214SpankyUtah011.nev,Spanky_2012-12-14-1335.mat,2012-12-14-1335,420.841833,2D Manual Position
20121215SpankyUtah001.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,488.973500,2D Manual Position
20121215SpankyUtah002.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,243.794400,2D Manual Position
20121215SpankyUtah003.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,480.948533,2D Manual Position
20121215SpankyUtah004.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,16.686200,1D Horiz Brain  Velocity
20121215SpankyUtah005.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,661.344600,1D Horiz Brain  Velocity
20121215SpankyUtah006.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,603.339100,1D Horiz Brain  Velocity
20121215SpankyUtah007.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,26.027867,1D Horiz Brain  Velocity
20121215SpankyUtah008.nev,Spanky_2012-12-15-1400.mat,2012-12-15-1400,603.608300,1D Horiz Brain  Velocity
,Spanky_2012-12-17-1441.mat,2012-12-17-1441,0.000000,
,Spanky_2012-12-17-1441.mat,2012-12-17-1441,0.000000,
20121217SpankyUtah003.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,16.342367,2D Manual Position
20121217SpankyUtah004.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,676.244667,2D Manual Position
20121217SpankyUtah005.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,16.287133,1D Horiz Brain  Velocity
20121217SpankyUtah006.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,601.657367,1D Horiz Brain  Velocity
20121217SpankyUtah007.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,485.778867,1D Horiz Brain  Velocity
20121217SpankyUtah008.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,30.876433,1D Horiz Brain  Velocity
20121217SpankyUtah009.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,660.726967,1D Horiz Brain  Velocity
20121217SpankyUtah010.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,604.615067,1D Horiz Brain  Velocity
20121217SpankyUtah011.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,16.084667,2D Manual Position
20121217SpankyUtah012.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,668.466033,2D Manual Position
20121217SpankyUtah013.nev,Spanky_2012-12-17-1441.mat,2012-12-17-1441,301.094567,2D Manual Position
,Spanky_2012-12-18-1427.mat,2012-12-18-1427,0.000000,
,Spanky_2012-12-18-1427.mat,2012-12-18-1427,0.000000,
20121218SpankyUtah003.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,601.329533,(waitfile)
20121218SpankyUtah004.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,17.498367,1D Horiz Brain  Velocity
20121218SpankyUtah005.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,600.825100,1D Horiz Brain  Velocity
20121218SpankyUtah006.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,601.367733,1D Horiz Brain  Velocity
20121218SpankyUtah007.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,612.905467,1D Horiz Brain  Velocity
20121218SpankyUtah008.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,481.119033,1D Horiz Brain  Velocity
20121218SpankyUtah009.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,44.970100,2D Brain  Velocity
20121218SpankyUtah010.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,608.856633,2D Brain  Velocity
20121218SpankyUtah011.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,602.514000,2D Brain  Velocity
20121218SpankyUtah012.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,16.056167,2D Manual Position
20121218SpankyUtah013.nev,Spanky_2012-12-18-1427.mat,2012-12-18-1427,601.012700,2D Manual Position
20121219SpankyUtah001.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,304.249800,(waitfile)
20121219SpankyUtah002.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,15.417333,2D Manual Position
20121219SpankyUtah003.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,540.497767,2D Manual Position
20121219SpankyUtah004.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,16.111700,(waitfile)
20121219SpankyUtah005.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,600.597600,(waitfile)
20121219SpankyUtah006.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,602.908900,1D Horiz Brain  Velocity
20121219SpankyUtah007.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,20.594167,1D Horiz Brain  Velocity
20121219SpankyUtah008.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,601.044133,1D Horiz Brain  Velocity
20121219SpankyUtah009.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,661.629967,1D Horiz Brain  Velocity
20121219SpankyUtah010.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,15.920633,2D Manual Position
20121219SpankyUtah011.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,612.777867,2D Manual Position
20121219SpankyUtah012.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,15.986433,1D Horiz Brain  Velocity
20121219SpankyUtah013.nev,Spanky_2012-12-19-1400.mat,2012-12-19-1400,421.298933,1D Horiz Brain  Velocity
20121220SpankyUtah001.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,361.444533,2D Manual Position
20121220SpankyUtah002.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,660.581167,2D Manual Position
20121220SpankyUtah003.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,781.429000,2D Manual Position
20121220SpankyUtah004.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,15.956933,1D Horiz Brain  Velocity
20121220SpankyUtah005.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,601.351333,1D Horiz Brain  Velocity
20121220SpankyUtah006.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,604.815233,1D Horiz Brain  Velocity
20121220SpankyUtah007.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,15.917133,Multiple
20121220SpankyUtah008.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,301.253567,Multiple
20121220SpankyUtah009.nev,Spanky_2012-12-20-1346.mat,2012-12-20-1346,15.787033,1D Horiz Brain  Velocity
